date,year,district,address,race,sex,age,category,weapon
01/25/2001,2001,35,"5748 N. 7th St., Philadelphia, PA",B,M,32,shooting,Firearm
01/25/2001,2001,06,"401 S. Delaware Ave., Philadelphia, PA",W,M,22,shooting,Firearm
01/26/2001,2001,25,"Cambria & Mascher Sts., Philadelphia, PA",B,M,24,shooting,Firearm
01/26/2001,2001,12,"1400 S. 57th St., Philadelphia, PA",B,M,14,shooting,Firearm
01/26/2001,2001,39,"3101 N. 22nd St., Philadelphia, PA",B,M,25,shooting,Firearm
01/27/2001,2001,19,"1600 Redfield St., Philadelphia, PA",B,M,23,shooting,Firearm
01/27/2001,2001,14,"145 Hansberry, Philadelphia, PA",B,M,38,shooting,Firearm
01/27/2001,2001,25,"1242 W. Venango St., Philadelphia, PA",B,M,22,shooting,Firearm
01/27/2001,2001,19,"5914 W. Master St., Philadelphia, PA",B,F,29,shooting,Firearm
01/28/2001,2001,35,"5909 N. Broad St., Philadelphia, PA",B,M,31,shooting,Firearm
01/28/2001,2001,24,"B St. & Tusculum St., Philadelphia, PA",B,M,25,shooting,Firearm
01/28/2001,2001,25,"Gurney & Howard Sts., Philadelphia, PA",W,M,22,shooting,Firearm
01/28/2001,2001,25,"2900 Waterloo St., Philadelphia, PA",W,M,26,shooting,Firearm
01/28/2001,2001,12,"5300 Woodland Ave., Philadelphia, PA",B,M,19,shooting,Firearm
01/28/2001,2001,25,"2843 N. 4th St., Philadelphia, PA",B,M,18,shooting,Firearm
01/28/2001,2001,24,"B St. & Tusculum St., Philadelphia, PA",W,M,25,shooting,Firearm
01/28/2001,2001,25,"5th St. & Indiana Ave., Philadelphia, PA",W,M,37,shooting,Firearm
01/29/2001,2001,12,"60th St. & Chester Ave., Philadelphia, PA",B,M,28,shooting,Firearm
01/29/2001,2001,25,"4000 N. 5th St., Philadelphia, PA",B,M,30,shooting,Firearm
01/29/2001,2001,25,"5th St. & Hunting Pk. Ave., Philadelphia, PA",B,M,30,shooting,Firearm
01/30/2001,2001,17,"1500 Corlies St., Philadelphia, PA",B,F,35,shooting,Firearm
01/30/2001,2001,14,"5521 Boyer, Philadelphia, PA",B,M,21,shooting,Firearm
01/31/2001,2001,01,"Bouvier St. & Snyder Ave., Philadelphia, PA",W,M,35,shooting,Firearm
02/01/2001,2001,08,"8771 Glenloch, Philadelphia, PA",B,M,35,shooting,Firearm
02/01/2001,2001,16,"4300 Wyalusing, Philadelphia, PA",B,M,35,shooting,Firearm
02/01/2001,2001,14,"Wayne ave.&Logan st., Philadelphia, PA",B,M,31,shooting,Firearm
02/02/2001,2001,35,"7639 Fayete, Philadelphia, PA",B,F,34,shooting,Firearm
02/02/2001,2001,25,"2859 N. American, Philadelphia, PA",B,M,35,shooting,Firearm
02/03/2001,2001,19,"2130 N. 63rd, Philadelphia, PA",B,M,27,shooting,Firearm
02/03/2001,2001,19,"5500 Vine, Philadelphia, PA",B,M,19,shooting,Firearm
02/03/2001,2001,35,"5800 N. Camac, Philadelphia, PA",B,M,18,shooting,Firearm
02/04/2001,2001,19,"53rd & Market, Philadelphia, PA",B,M,20,shooting,Firearm
02/04/2001,2001,19,"53rd&Market, Philadelphia, PA",B,M,26,shooting,Firearm
02/07/2001,2001,35,"1400 Haines, Philadelphia, PA",B,M,30,shooting,Firearm
02/07/2001,2001,04,"6th & Mifflin, Philadelphia, PA",B,M,22,shooting,Firearm
02/07/2001,2001,17,"17th & Morris, Philadelphia, PA",B,M,20,shooting,Firearm
02/07/2001,2001,26,"902 W. Huntingdon, Philadelphia, PA",W,M,21,shooting,Firearm
