DATE,YEAR,DIST,LOCATION,R,S,L,AGE
04/08/2001,2001,17,3100 Mountain Dr.,B,M,N,21
04/08/2001,2001,12,1007 St. Bernard,B,M,N,19
04/08/2001,2001,19,54th&Haverford,B,M,N,29
04/08/2001,2001,17,3100 Mountain Dr.,B,M,N,23
04/08/2001,2001,25,2823 N. Broad,W,M,N,28
04/08/2001,2001,25,,W,M,N,34
04/10/2001,2001,18,32nd&Webster,B,M,N,26
04/10/2001,2001,18,52nd&Webster,B,M,N,25
04/10/2001,2001,24,3060 Potter,B,M,N,19
04/10/2001,2001,23,1841 Poplar,B,M,N,35
04/11/2001,2001,16,4510 Lancaster,B,M,N,18
04/11/2001,2001,06,7th&Green,B,M,N,19
04/11/2001,2001,06,7th&Green,B,M,N,20
04/11/2001,2001,25,Marshall&Tioga,W,M,Y,29
04/11/2001,2001,25,3200 N. Fairhill,W,M,N,21
04/11/2001,2001,25,,W,M,Y,22
04/11/2001,2001,12,5701 Woodland,B,M,N,63
04/12/2001,2001,19,5344 Master,B,M,N,26
04/12/2001,2001,24,,B,M,N,18
04/12/2001,2001,24,3057 Potter,B,M,N,26
04/13/2001,2001,35,1503 Wingohocking,B,M,N,27
04/13/2001,2001,04,2650 S. 8th,B,M,N,21
04/13/2001,2001,26,2300 N. Marshall,B,M,N,20
04/13/2001,2001,26,7th&Lehigh,B,M,N,23
04/13/2001,2001,26,7th&Diamond,B,M,N,20
04/14/2001,2001,35,Gratz&Wingohocking,B,M,N,29
04/14/2001,2001,35,5400 Tabor,B,M,N,50
04/14/2001,2001,35,1000 Louden,B,M,N,27
04/14/2001,2001,18,5700 Hazel,B,M,N,18
04/14/2001,2001,12,6900 Grovers,B,M,N,17
04/15/2001,2001,24,3200 Shelbourne,W,M,Y,18
04/15/2001,2001,35,1000 Louden,B,M,N,37
04/15/2001,2001,19,5400 Arlington,B,M,N,17
04/15/2001,2001,35,1000 Louden,B,M,N,23
04/15/2001,2001,22,1900 Huntingdon,B,M,N,19
04/15/2001,2001,15,6535 Hegerman,W,M,N,37
04/16/2001,2001,39,Germantown&Roberts,B,M,N,22
04/16/2001,2001,39,Germantown&Roberts,B,M,N,24
04/16/2001,2001,26,1143 Delaware,W,M,N,22
04/16/2001,2001,39,Germantown&Roberts,B,M,N,25
04/16/2001,2001,16,3400 Mellon,B,M,N,24
04/17/2001,2001,16,3801 Reno,B,M,N,20
04/17/2001,2001,35,1300 Lindley,B,M,N,31
04/17/2001,2001,12,80th&Lindbergh,B,M,N,19
04/18/2001,2001,19,1001 N. 64th,B,M,N,42
04/18/2001,2001,19,5308 Oxford,B,M,N,24
04/18/2001,2001,25,A & Westmoreland,W,M,N,23
04/18/2001,2001,19,1001 N. 64th,B,F,N,22
04/18/2001,2001,12,5352 Baltimore,B,M,N,28
04/18/2001,2001,12,5106 Chester,B,M,N,20
04/18/2001,2001,25,1100 W. Orleans,B,M,N,20
04/19/2001,2001,17,1600 Dickenson,B,M,N,27
04/19/2001,2001,12,5800 Woodland,B,M,N,18
04/19/2001,2001,16,434 N. Preston,B,M,N,35
04/20/2001,2001,23,2400 Nicholas,B,M,N,18
04/20/2001,2001,04,500 Dudley,B,M,N,28
04/21/2001,2001,24,3239 Almond,W,M,N,79
04/21/2001,2001,26,5th & Jefferson,W,M,Y,45
04/21/2001,2001,12,5700 Beaumount,B,M,N,67
04/21/2001,2001,35,8th & Lindley,B,M,N,19
04/21/2001,2001,19,100 N. 58th,B,M,N,16
04/21/2001,2001,26,1001 N. Delaware,A,M,N,23
04/21/2001,2001,25,1200 Lycoming,B,M,N,20
04/21/2001,2001,25,5000 Bingham,B,M,N,26
04/21/2001,2001,26,2564 N. 7th,B,M,N,27
04/21/2001,2001,17,2634 Federal,B,M,N,43
04/21/2001,2001,22,2208 N. Colorado,B,M,N,30
04/21/2001,2001,17,1600 Ringold,B,M,N,19
04/21/2001,2001,25,5th & Indiana,W,M,Y,20
04/22/2001,2001,23,1913 W. Harlan,B,M,N,22
04/22/2001,2001,16,3817 Reno,B,F,N,21
04/22/2001,2001,23,23rd & Turner,B,M,N,35
04/22/2001,2001,07,9200 Bustleton apt.2612,W,M,Y,27
04/22/2001,2001,17,1215 S. 18th,B,M,N,20
04/22/2001,2001,16,3817 Reno,B,M,N,24
04/23/2001,2001,19,5700 Media,B,M,N,23
04/23/2001,2001,09,1750 Vineyard,B,M,N,28
04/23/2001,2001,14,800 E. Woodlawn,B,M,N,19
04/23/2001,2001,2,500 Cheltenham,B,M,N,21
04/23/2001,2001,23,1800 Master,B,M,N,19
04/24/2001,2001,22,2300 N. Bouvier,B,M,N,15
04/25/2001,2001,25,3100 Park,B,M,N,35
04/26/2001,2001,18,3400 Spruce,B,M,N,20
04/26/2001,2001,04,740 Tree,W,F,N,24
04/26/2001,2001,22,2200 N. Bouvier,B,M,N,21
04/26/2001,2001,23,1701 Vineyard,B,M,N,33
04/26/2001,2001,35,6247 N. Bouvier,B,M,N,22
04/27/2001,2001,25,3653 Germantown,B,M,N,20
04/27/2001,2001,23,2708 W. Jefferson,B,F,N,21
04/27/2001,2001,23,2708 W. Jefferson,B,F,N,22
04/28/2001,2001,16,4400 Aspen,B,M,N,18
04/28/2001,2001,12,6300 Reedland,B,M,N,21
04/28/2001,2001,26,1001 N. Delaware,B,M,N,21
04/28/2001,2001,23,1500 Stiles,B,M,N,18
04/28/2001,2001,14,1385 E. Narragansett,B,M,N,24
04/28/2001,2001,26,2300 N Marshall,B,M,N,20
04/29/2001,2001,39,15th & Clearfield,B,M,N,26
04/29/2001,2001,35,6247 Bouvier,B,M,N,22
04/29/2001,2001,04,1714 S. 5th,B,M,N,21
04/30/2001,2001,26,2010 E. Boston,W,F,N,16
04/30/2001,2001,17,3100 Mountain Dr.,B,M,N,24
04/30/2001,2001,39,1900 Roberts,B,M,N,47
04/30/2001,2001,19,426 N. 54th,B,M,N,19
05/01/2001,2001,26,1541 N. 9th,B,F,N,43
05/01/2001,2001,25,11th & Cambria,B,M,N,26
05/01/2001,2001,19,62 N. 54th,B,F,N,45
05/02/2001,2001,04,500 Emily,B,M,N,23
05/02/2001,2001,22,2100 N. Uber,B,M,N,23
05/02/2001,2001,25,700 E. Hilton,W,M,Y,29
05/03/2001,2001,26,5th & Master,B,M,N,30
05/03/2001,2001,14,5841 Baynton St.,B,M,N,17
05/03/2001,2001,22,2200 N. 18th,B,M,N,26
05/03/2001,2001,22,2200 N. 18th,B,F,N,54
