CaseNumber,Date,Year,District,Location,LocationDir,LocationStreet,Age,Race,Sex,Hispanic,UCR,Weapon
M00150,7/4/2000,2000,22,02500,N,MYRTLEWOOD,22,B,M,N,111,HANDGUN
M00151,7/4/2000,2000,25,02900,N,MASCHER,25,W,M,N,111,HANDGUN
M00154,7/10/2000,2000,22,01950,N,WARNOCK,18,B,M,N,111,HANDGUN
M00155,7/11/2000,2000,12,05242,,KINGSESSING,20,B,M,N,111,HANDGUN
M00157,7/11/2000,2000,04,02138,S,04TH,20,B,M,N,111,HANDGUN
M00158,7/11/2000,2000,25,04000,N,REESE,20,B,M,N,111,HANDGUN
M00159,7/11/2000,2000,39,02943,N,STILLMAN,26,B,M,N,111,HANDGUN
M00160,7/13/2000,2000,19,05300,,COLUMBIA,17,B,M,N,111,HANDGUN
M00161,7/13/2000,2000,39,03100,N,23RD,33,B,M,N,111,HANDGUN
M00162,7/14/2000,2000,22,02801,W,DAUPHIN,20,B,M,N,111,HANDGUN
M00164,6/29/2000,2000,12,02660,S,CARROLL,53,B,M,N,111,HANDGUN
M00165,7/16/2000,2000,39,04300,,WAYNE,20,B,M,N,111,HANDGUN
M00166,7/17/2000,2000,14,00057,W,GARFIELD,51,B,F,N,111,HANDGUN
M00167,7/18/2000,2000,19,01300,N,FRAZIER,27,B,M,N,111,HANDGUN
M00168,7/19/2000,2000,25,03700,N,07TH,26,W,M,Y,111,HANDGUN
M00169,7/20/2000,2000,17,01513,S,BOUVIER,19,B,M,N,111,HANDGUN
M00171,7/23/2000,2000,22,03000,W,ARIZONA,22,B,M,N,111,HANDGUN
M00172,7/26/2000,2000,04,00600,,SNYDER,3,B,M,N,111,HANDGUN
M00175,7/28/2000,2000,18,00100,S,57TH,21,B,M,N,111,HANDGUN
M00176,7/29/2000,2000,17,01400,S,24TH,36,B,M,N,111,HANDGUN
M00177,7/31/2000,2000,04,02351,S,MARSHALL,19,A,M,N,111,HANDGUN
M00178,7/31/2000,2000,23,01306,N,27TH,23,B,M,N,111,HANDGUN
M00179,7/31/2000,2000,39,01500,W,HUNTING PARK,51,B,M,N,111,HANDGUN
M00183,8/6/2000,2000,19,05151,,WARREN,36,B,M,N,111,HANDGUN
M00186,8/10/2000,2000,23,02900,W,JEFFERSON,29,B,M,N,111,HANDGUN
M00187,8/11/2000,2000,02,06113,,LOVATT TERR,20,B,M,N,111,HANDGUN
M00189,8/11/2000,2000,12,00741,S,52ND,20,B,M,N,111,HANDGUN
M00191,8/11/2000,2000,14,01100,E,PRICE,31,B,F,N,111,HANDGUN
M00192,8/11/2000,2000,25,02857,N,REESE,30,W,M,Y,111,HANDGUN
M00196,8/13/2000,2000,19,00249,N,HOBART,20,B,M,N,111,HANDGUN
M00202,8/21/2000,2000,24,02303,E,CAMBRIA,40,W,M,Y,111,HANDGUN
M00204,8/24/2000,2000,39,02000,W,WESTMORELAND,20,B,M,N,111,HANDGUN
M00206,8/27/2000,2000,23,02800,W,OXFORD,25,B,M,N,111,HANDGUN
M00208,8/28/2000,2000,14,06701,,CHEW,29,B,M,N,111,HANDGUN
M00209,8/29/2000,2000,17,01900,,WEBSTER,28,B,M,N,111,HANDGUN
M00210,8/29/2000,2000,16,03412,,SPRING GARDEN,24,B,M,N,111,HANDGUN
M00211,8/29/2000,2000,35,01800,W,RUSCOMB,19,B,M,N,111,HANDGUN
M00212,8/30/2000,2000,22,01200,W,HUNTINGDON,19,B,M,N,111,HANDGUN
M00214,9/4/2000,2000,04,00700,,CANTRELL,38,B,M,N,111,HANDGUN
M00216,9/6/2000,2000,25,04200,N,PARK,22,B,M,N,111,HANDGUN
M00217,9/6/2000,2000,09,00200,N,22ND,19,B,M,N,111,HANDGUN
M00219,9/8/2000,2000,25,00500,W,LUZERNE,21,B,M,N,111,HANDGUN
M00220,9/10/2000,2000,19,00021,N,58TH,21,B,M,N,111,HANDGUN
M00221,9/11/2000,2000,14,01208,E,BARRINGER,35,B,M,N,111,HANDGUN
M00223,9/12/2000,2000,12,02023,S,60TH,26,B,M,N,111,HANDGUN
M00224,9/13/2000,2000,12,05400,,WARRINGTON,17,B,M,N,111,HANDGUN
M00225,9/13/2000,2000,12,05400,,WARRINGTON,17,B,M,N,111,HANDGUN
M00226,7/11/2000,2000,25,03355,N,PHILLIP,22,B,F,N,111,HANDGUN
M00228,9/20/2000,2000,18,00122,S,PEACH,25,B,M,N,111,HANDGUN
M00230,9/24/2000,2000,35,05636,N,02ND,24,B,M,N,111,HANDGUN
M00231,9/24/2000,2000,17,02225,,CROSS,22,B,M,N,111,HANDGUN
M00232,9/28/2000,2000,12,01622,S,58TH,25,B,M,N,111,HANDGUN
M00233,9/28/2000,2000,12,01622,S,58TH,41,B,M,N,111,HANDGUN
M00239,10/3/2000,2000,19,01647,N,56TH,26,B,M,N,111,HANDGUN
M00241,10/5/2000,2000,22,02138,N,MARSTON,30,B,M,N,111,HANDGUN
M00242,10/9/2000,2000,35,04600,N,MARVINE,19,B,M,N,111,HANDGUN
M00243,10/11/2000,2000,18,05906,,PINE,18,B,M,N,111,HANDGUN
M00244,10/15/2000,2000,23,01722,W,GIRARD,25,B,M,N,111,HANDGUN
M00247,10/21/2000,2000,12,01946,S,56TH,31,B,M,N,111,HANDGUN
M00248,10/22/2000,2000,25,01200,W,LYCOMING,28,B,M,N,111,HANDGUN
M00249,10/23/2000,2000,12,02441,S,62ND,20,B,M,N,111,HANDGUN
M00250,10/25/2000,2000,19,05279,W,JEFFERSON,29,B,M,N,111,HANDGUN
M00251,10/25/2000,2000,17,01709,S,RINGGOLD,18,B,M,N,111,HANDGUN
M00252,10/26/2000,2000,39,03621,N,22ND,18,A,M,N,111,HANDGUN
M00254,10/26/2000,2000,26,02148,N,FRANKLIN,40,B,M,N,111,HANDGUN
M00260,11/1/2000,2000,35,01800,,ELSTON,42,B,M,N,111,HANDGUN
M00261,11/1/2000,2000,17,01721,,DORRANCE,40,B,M,N,111,HANDGUN
M00262,11/4/2000,2000,17,02324,W,MORRIS,32,B,M,N,111,HANDGUN
M00263,11/4/2000,2000,26,00026,E,POPLAR,20,B,M,N,111,HANDGUN
M00264,11/4/2000,2000,19,01602,N,52ND,50,A,M,N,111,HANDGUN
M00268,11/10/2000,2000,25,03653,,GERMANTOWN,23,B,M,N,111,HANDGUN
M00270,11/14/2000,2000,09,02028,,WALNUT,18,B,M,N,111,HANDGUN
M00271,11/14/2000,2000,22,03000,W,YORK,21,B,M,N,111,HANDGUN
M00272,11/14/2000,2000,04,00522,,SIGEL,31,B,M,N,111,HANDGUN
M00275,11/18/2000,2000,14,06812,,CHEW,35,B,M,N,111,HANDGUN
